state,action,supervisor_action
11222211,right,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
12221212,up,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,down,right
12211112,left,right
12221112,left,right
12221112,left,right
