state,action,supervisor_action
11122212,left,left
11121212,left,left
11121212,left,left
11122211,down,down
12222211,right,right
12221112,right,right
12221112,right,right
12222212,right,right
12221212,right,right
12211112,right,right
12121112,right,right
12111212,left,down
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
12121112,right,left
12111212,left,left
