state,action,supervisor_action
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,left
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
22121212,left,left
11121212,left,left
11121212,left,left
12121211,up,right
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12121211,right,right
12121112,right,right
12121112,right,right
12122212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,up,left
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,left
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
22121212,left,left
11121212,left,left
11121212,left,left
12121211,up,right
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12121211,right,right
12121112,right,right
12121112,right,right
12122212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,up,left
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,left
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
22121212,left,left
11121212,left,left
11121212,left,left
12121211,up,right
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12121211,right,right
12121112,right,right
12121112,right,right
12122212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,up,left
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,left
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
22121212,left,left
11121212,left,left
11121212,left,left
12121211,up,right
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12121211,right,right
12121112,right,right
12121112,right,right
12122212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,up,left
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,left
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
22121212,left,left
11121212,left,left
11121212,left,left
12121211,up,right
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12121211,right,right
12121112,right,right
12121112,right,right
12122212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,up,left
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,right,right
11121212,right,right
11121212,right,right
22121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,down,left
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,left
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
22121212,left,left
11121212,left,left
11121212,left,left
12121211,up,right
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12121211,right,right
12121112,right,right
12121112,right,right
12122212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,up,left
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,left
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12122212,left,left
12121112,left,left
12121112,left,left
12121211,down,right
12111211,down,down
