state,action,supervisor_action
11222211,down,down
12222211,down,down
12122211,down,down
12122211,down,down
12122111,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12221211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12221211,down,down
12221211,down,down
12221211,down,down
12121111,right,right
12121112,right,right
22121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
21121112,right,right
21121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
22121112,right,right
12111112,up,up
12111222,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111221,up,up
12111221,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111222,up,up
11111222,left,left
11122222,left,left
11122222,left,left
11121222,left,left
11121222,left,left
11121222,left,left
11121222,left,left
11121222,left,left
11121222,left,left
11121221,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11122212,right,right
11111212,left,left
11122212,left,left
11122212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11122212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111221,down,down
12111221,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111222,down,down
12111112,up,up
12111222,up,up
12111222,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111221,up,up
12111221,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111221,down,down
12111221,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111222,down,down
12111112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
21121112,left,left
21121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
22121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
21121112,right,right
21121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
22121112,right,right
12111112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
21121112,left,left
21121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121111,up,up
12221211,up,up
12221211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
11221211,right,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12121212,down,down
12121212,down,down
12121112,up,up
12121212,up,up
12121212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12121212,down,down
12121212,down,down
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121212,up,up
12121212,up,up
11121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12121212,down,down
12121212,down,down
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121212,up,up
12121212,up,up
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11122212,left,left
12121212,left,left
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
