state,action,supervisor_action
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,right
12121211,nothing,right
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,up
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,up
12121211,nothing,down
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,left
12121211,nothing,right
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,up
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,up
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,up
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,up
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,up
12121211,nothing,left
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,down
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,up
12121211,nothing,left
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,down
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,right
12121211,nothing,right
12121211,nothing,up
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,left
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,right
12121211,nothing,left
12121211,nothing,right
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,left
12121211,nothing,up
12121211,nothing,down
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,up
12121211,nothing,left
12121211,nothing,up
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,right
12121211,nothing,down
12121211,nothing,down
12121211,nothing,right
12121211,nothing,down
12121211,nothing,up
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,nothing
12121211,nothing,down
12121211,nothing,right
12121211,nothing,up
12121211,nothing,right
12121211,nothing,left
12121211,nothing,down
12121211,nothing,left
12121211,nothing,right
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,down
12121211,nothing,right
12121211,nothing,right
12121211,nothing,left
12121211,nothing,nothing
12121211,nothing,up
12121211,nothing,down
12121211,nothing,down
12121211,nothing,down
12121211,nothing,up
12121211,nothing,up
12121211,nothing,left
12121211,nothing,down
12121211,nothing,nothing
12121211,nothing,left
12121211,nothing,right
12121211,nothing,up
12121211,nothing,left
12121211,nothing,right
12121211,nothing,up
12121211,nothing,up
12121211,nothing,up
12121211,nothing,down
12121211,nothing,right
