state,action,supervisor_action
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
11122212,right,down
11121212,right,down
11121212,right,down
11122112,right,down
11112212,left,down
11122112,left,down
11121212,left,down
11121212,left,down
11122212,left,down
11121212,left,down
11121212,left,down
11122211,right,down
11121212,right,down
11121212,right,down
